estrategia,run_id,tempo_s,cpu_user_s,cpu_sys_s,cpu_pct,mem_max_kb,mem_max_mb,ctx_switches_vol,ctx_switches_invol,testes_executados,cpu_total_s,energia_estimada_j,edp
tia,19928452185,0.21,0.2,0.01,99,38124,37.23046875,5,3,,0.21000000000000002,3.1500000000000004,0.6615000000000001
baseline,19928478622,0.41,0.24,0.02,63,41680,40.703125,3,2,12.0,0.26,3.9000000000000004,1.599
tia,19928867627,0.28,0.26,0.02,99,38116,37.22265625,5,3,,0.28,4.2,1.1760000000000002
tia,19929036401,0.23,0.22,0.01,99,38172,37.27734375,5,2,,0.23,3.45,0.7935000000000001
parallel,19928260744,1.03,3.64,0.26,376,41792,40.8125,622,316,12.0,3.9000000000000004,58.50000000000001,60.25500000000001
parallel,19928342129,0.98,3.51,0.26,381,41864,40.8828125,645,326,12.0,3.7699999999999996,56.55,55.419
baseline,19928396945,0.42,0.26,0.01,64,41628,40.65234375,3,3,12.0,0.27,4.050000000000001,1.7010000000000003
baseline,19928563120,0.41,0.23,0.02,63,41740,40.76171875,3,4,12.0,0.25,3.75,1.5374999999999999
baseline,19928647027,0.4,0.23,0.01,62,41676,40.69921875,3,4,12.0,0.24000000000000002,3.6,1.4400000000000002
tia,19928535329,0.21,0.19,0.02,100,38048,37.15625,5,2,,0.21,3.15,0.6615
parallel,19928506686,0.97,3.62,0.25,398,41804,40.82421875,660,219,12.0,3.87,58.050000000000004,56.3085
baseline,19928980016,0.42,0.25,0.02,64,41632,40.65625,3,1,12.0,0.27,4.050000000000001,1.7010000000000003
baseline,19928813324,0.42,0.25,0.02,64,41668,40.69140625,3,2,12.0,0.27,4.050000000000001,1.7010000000000003
baseline,19928729678,0.41,0.25,0.01,63,41632,40.65625,3,1,12.0,0.26,3.9000000000000004,1.599
parallel,19928923358,0.98,3.78,0.28,414,41556,40.58203125,670,240,12.0,4.06,60.89999999999999,59.68199999999999
parallel,19928674430,0.93,3.5,0.25,402,41320,40.3515625,616,291,12.0,3.75,56.25,52.3125
tia,19928618817,0.21,0.19,0.01,100,38028,37.13671875,5,5,,0.2,3.0,0.63
tia,19928785457,0.28,0.22,0.02,85,38064,37.171875,10,1,,0.24,3.5999999999999996,1.008
parallel,19928423657,0.96,3.61,0.28,403,41816,40.8359375,683,196,12.0,3.8899999999999997,58.349999999999994,56.01599999999999
tia,19928952523,0.22,0.2,0.02,100,38052,37.16015625,5,1,,0.22,3.3,0.726
parallel,19928757797,0.95,3.72,0.27,416,41504,40.53125,688,290,12.0,3.99,59.85,56.8575
parallel,19929006486,0.97,3.89,0.27,426,41592,40.6171875,668,334,12.0,4.16,62.400000000000006,60.528000000000006
tia,19928289619,0.49,0.31,0.02,69,43828,42.80078125,7,2,12.0,0.33,4.95,2.4255
tia,19928702230,0.21,0.19,0.01,99,37996,37.10546875,5,3,,0.2,3.0,0.63
baseline,19928895526,0.41,0.25,0.01,63,41812,40.83203125,3,2,12.0,0.26,3.9000000000000004,1.599
parallel,19928840072,0.98,3.53,0.27,388,41724,40.74609375,669,199,12.0,3.8,57.0,55.86
parallel,19928589872,0.94,3.26,0.26,373,41708,40.73046875,630,145,12.0,3.5199999999999996,52.8,49.632
baseline,19928233405,0.42,0.25,0.01,64,41740,40.76171875,3,4,12.0,0.26,3.9000000000000004,1.6380000000000001
tia,19928370925,0.21,0.19,0.02,99,38052,37.16015625,5,5,,0.21,3.15,0.6615
baseline,19928315380,0.42,0.25,0.01,64,41612,40.63671875,3,2,12.0,0.26,3.9000000000000004,1.6380000000000001
